"gvkey","tic","conm","prccq"
180395,"ILG","ILG INC",27.49
180401,"BNKPF","BNK PETROLEUM INC",0.18
180402,"HSNI","HSN INC",31.9
180405,"ATVI","ACTIVISION BLIZZARD INC",57.57
180413,"DL","CHINA DISTANCE EDUCATION-ADR",8.92
180423,"TREE","LENDINGTREE INC",172.2
180437,"ARGEF","ARGEX TITANIUM INC",0.04
180445,"CNRMF","CONFEDERATION MINERALS LTD",0.62
180450,"WMRSF","WESTMINSTER RESOURCES LTD",0.23
180466,"JBT","JOHN BEAN TECHNOLOGIES",98
180474,"RXN","REXNORD CORP",23.25
180475,"PPPMF","PRIMERO MINING CORP",0.3456
180483,"BERY","BERRY GLOBAL GROUP INC",57.01
180506,"LUCRF","LUCARA DIAMOND CORP",2.76
180574,"RYES","RISE GOLD CORP",0.25
180597,"STRI","STR HOLDINGS INC",0.1957
180599,"AGDXF","ANTIOQUIA GOLD INC",0.12
180635,"CLD","CLOUD PEAK ENERGY INC",3.53
180646,"MYRG","MYR GROUP INC",31.02
180652,"VRSK","VERISK ANALYTICS INC",84.37
180665,"DRNE","DRONE AVIATION HOLDING CORP",1.42
180678,"TSRMF","TREASURY METALS INC",0.62
180681,"ABBB","AUBURN BANCORP INC",11.3
180683,"IBIO","IBIO INC",0.386
180690,"RCON","RECON TECHNOLOGY LTD",1.1201
180695,"BHLL","BUNKER HILL MINING CORP",1.4566
180698,"OGXI","ONCOGENEX PHARMACEUTICALS",0.3597
180711,"AVGO","BROADCOM LTD",220.81
180734,"CHND","CHINA MEDIA INC",0.01
180749,"BLPG","BLUE LINE PROTECTION GROUP",0.0166
180759,"SAUC","DIVERSIFIED RESTAURANT HLDGS",2.6
180804,"USCFF","US COBALT INC",0.94
180812,"PGXPF","PELANGIO EXPLORATION INC",0.04
180821,"ASCMA","ASCENT CAPITAL GROUP INC",15.36
180822,"MHH","MASTECH DIGITAL INC",6.48
180866,"MYOS","MYOS RENS TECHNOLOGY INC",1.82
180899,"GWTI","GREENWAY TECHNOLOGIES INC",0.258
180905,"RST","ROSETTA STONE INC",10.78
180937,"MNGA","MAGNEGAS CORP",1.23
180940,"LBCMF","LIBERO COPPER CORP",0.105
180948,"AIRRF","AURION RESOURCES LTD",1.89
180958,"FSFG","FIRST SAVINGS FINANCIAL GP",52.78
181070,"SNWV","SANUWAVE HEALTH INC",0.1125
181104,"MDRX","ALLSCRIPTS HEALTHCARE SOLTNS",12.76
181105,"TNEYF","TAMARACK VALLEY ENERGY LTD",2.23
181256,"RBIZ","REALBIZ MEDIA GROUP INC",0.022
181269,"GPRE","GREEN PLAINS INC",20.55
181290,"DMRC","DIGIMARC CORP",40.15
181309,"RPMT","REGO PAYMENT ARCHITECTES INC",0.2239
181327,"AUG","AURYN RESOURCES INC",3.05
181359,"MNGGF","MONGOLIA GROWTH GROUP LTD",0.395
181515,"ANCB","ANCHOR BANCORP/WA",25.05
181618,"CYMBF","CYMBRIA CORP",48.29
181745,"CCLP","CSI COMPRESSCO LP",4.85
181775,"CIBY","CIBL INC",1480
181794,"BSPM","BIOSTAR PHARMACEUTICALS INC",1.53
181804,"ALARF","ALARIS ROYALTY CORP",23.03
181820,"FSBW","FS BANCORP INC",43.77
181837,"RIHC","RORINE INTL HOLDING CORP",0.7
181900,"REPCF","REPLICEL LIFE SCIENCES INC",0.58
181931,"CLW","CLEARWATER PAPER CORP",46.75
181970,"VBIO","VITALITY BIOPHARMA INC",2.09
181989,"SLCA","U S SILICA HOLDINGS INC",35.49
182023,"ONCS","ONCOSEC MEDICAL INC",1.15
182104,"LOONF","LOON ENERGY CORP",0.015
182112,"BPI","BRIDGEPOINT EDUCATION INC",14.76
182169,"NRBT","NOVUS ROBOTICS INC",0.81
182308,"MDSO","MEDIDATA SOLUTIONS INC",78.2
182309,"ABIO","ARCA BIOPHARMA INC",2.4
182392,"BONXF","BONTERRA RESOURCES INC",0.485
182497,"KANP","KAANAPALI LAND LLC",36.5
182539,"ORZCF","OREZONE GOLD CORP",0.73
182554,"MOMT","MONEYONMOBILE INC",0.2861
182599,"RIVE","RIVERVIEW FINANCIAL CORP",13.48
182610,"VYCO","VYCOR MEDICAL INC",0.3
182613,"TETAA","TETON ADVISORS INC",36
182638,"PLSB","PULSE BEVERAGE CORP",0.0022
182683,"SPLB","SPDR PORTFO LG TRM CP BD ETF",41.64
182685,"BYGRF","BOYUAN CONSTRUCTION GROUP",0.49
182700,"CYOU","CHANGYOU.COM LTD",38.76
182701,"GOV","GOVERNMENT PPTYS INCOME TR",18.31
182788,"WAC","WALTER INVESTMENT MGMT CORP",0.9471
182823,"MAXMF","STANDARD EXPLORATION LTD",0.015
182826,"ADMP","ADAMIS PHARMACEUTICALS CORP",5.2
182897,"BVTK","BRAVATEK SOLUTIONS INC",0.0021
182950,"MTLFF","METALLIS RESOURCES INC",0.19
182960,"ABMT","ADVANCED BIOMEDICAL TECH INC",0.15
182972,"CADIF","CADILLAC VENTURES INC",0.04
182977,"USEL","USELL.COM INC",0.82
182979,"HDRSF","HIGHLAND COPPER COMPANY INC",0.105
182984,"NCAP","NORTHSIGHT CAPITAL INC",0.048
182986,"OPXS","OPTEX SYSTEMS HOLDINGS INC",0.997
183008,"NTCXF","NATCORE TECHNOLOGY INC",0.19
183022,"HEWA","HEALTHWAREHOUSE.COM INC",0.2575
183046,"FFMH","FIRST FARMERS & MERCHANTS CP",34.5
183085,"DENR","DISCOVERY ENERGY CORP",0.39
183108,"WMC","WESTERN ASSET MTG CAPITAL CP",10.3
183112,"SRCRF","SCORPIO GOLD CORP",0.0481
183139,"ISDR","ISSUER DIRECT CORP",12.9202
183144,"ENRJ","ENERJEX RESOURCES INC",0.32
183187,"CPXWF","CAPITAL POWER CORP",24.32
183224,"CNET","CHINANET ONLINE HOLDINGS",1.24
183226,"TIN.","EUROTIN INC",0.04
183230,"MGMXF","ALTERRA POWER CORP",5.69
183231,"GMICF","GENWORTH MI CANADA INC",35.68
183247,"TBNK","TERRITORIAL BANCORP INC",31.19
183253,"BKBEF","BLACKBIRD ENERGY INC",0.5
183261,"ENCTF","ENCANTO POTASH CORP",0.065
183275,"SYIFF","SILVERMET INC",0.085
183283,"ADUS","ADDUS HOMECARE CORP",37.2
183287,"TDNT","TRIDENT BRANDS INC",0.75
183296,"LRDC","LAREDO OIL INC",0.045
183307,"SCFFF","SPOT COFFEE LTD CDA",0.18
183312,"ASPS","ALTISOURCE PORTFOLIO SOLTNS",21.82
183316,"HELOF","HELIO RESOURCE CORP",0.02
183322,"TXMD","THERAPEUTICSMD INC",5.27
183324,"PMT","PENNYMAC MORTGAGE INVEST TR",18.29
183331,"SVRZF","SILVER BULLION TRUST",12.19
183337,"CO","CHINA CORD BLOOD CORP",9.48
183358,"GXOCF","GRANITE OIL CORP",4.63
183364,"WLTNF","WILTON RESOURCES INC",0.65
183366,"H","HYATT HOTELS CORP",56.21
183377,"FTNT","FORTINET INC",37.44
183388,"STWD","STARWOOD PROPERTY TRUST INC",22.39
183421,"PERFQ","PERFUMANIA HOLDINGS INC",1.0001
183457,"PGTMF","PAGET MINERALS CORP",0.06
183474,"PPRRF","PRONTOFORMS CORP",0.4
183488,"MAXD","MAX SOUND CORP",0.0021
183524,"GNUS","GENIUS BRANDS INTL INC",3.42
183528,"GCAP","GAIN CAPITAL HOLDINGS INC",6.23
183547,"CODA","CODA OCTOPUS GROUP INC",4.6
183565,"IDWM","IDW MEDIA HOLDINGS INC",48.51
183571,"ISDSF","ISIGN MEDIA SOLUTIONS INC",0.08
183581,"KAR","KAR AUCTION SERVICES INC",41.97
183588,"NSPX","INSPYR THERAPEUTICS INC",0.483
183590,"OTCM","OTC MARKETS GROUP INC",25
183593,"OMER","OMEROS CORP",19.905
183602,"SRNE","SORRENTO THERAPEUTICS INC",2
183603,"CLNS","COLONY NORTHSTAR INC",14.09
183606,"ARI","APOLLO COMMERCIAL RE FIN INC",18.55
183610,"GEBRF","GREENBRIAR CAPITAL CORP",0.79
183636,"RCM","R1 RCM INC",3.75
183640,"IRDM","IRIDIUM COMMUNICATIONS INC",11.05
183660,"YUANF","FINCERA INC",29.1
183663,"CULL","CULLMAN BANCORP INC",23
183666,"ZMTP","ZOOM TELEPHONICS INC",2
183669,"IMMVF","IMMUNOVACCINE INC",1.19
183675,"FVGCF","FIRE RIVER GOLD CORP",0.0015
183683,"DLMAF","DOLLARAMA INC",119.5
183704,"VTNR","VERTEX ENERGY INC",1.07
183727,"OMNT","OMINTO INC",15.25
183729,"ORGS","ORGENESIS INC",0.59
183736,"GNRC","GENERAC HOLDINGS INC",36.13
183739,"IPCI","INTELLIPHARMACEUTICS INTL",1.89
183745,"NAF.UN","REDWOOD GLOBL FINANCIAL INCM",21.7
183746,"FIG.","FIRST ASSET INVST GRD BD ETF",11.24
183758,"PKTEF","PARKIT ENTERPRISE INC",0.35
183780,"TWO","TWO HARBORS INVESTMENT CORP",9.91
183791,"CVE","CENOVUS ENERGY INC",9.56
183797,"COWN","COWEN INC",16.25
183799,"COGT","COGINT INC",5.05
183804,"AAINF","ASIABASEMETALS INC",0.35
183822,"ARR","ARMOUR RESIDENTIAL REIT INC",25
183825,"NITMF","NITINAT MINERALS CORP",0.045
183826,"STBZ","STATE BANK FINANCIAL CORP",27.12
183830,"PEB","PEBBLEBROOK HOTEL TRUST",32.24
183831,"BRGO","BERGIO INTERNATIONAL INC",1e-04
183833,"TRNO","TERRENO REALTY CORP",33.66
183850,"LLIT","LIANLUO SMART LTD",1.12
183855,"PARXF","PAREX RESOURCES INC",14.75
183860,"SKLN","SKYLINE MEDICAL INC",1.47
183879,"ANTH","ANTHERA PHARMACEUTCLS INC",1.62
183882,"HTRRF","HEATHERDALE RESOURCES LTD",0.055
183887,"BRIOF","MAGNA TERRA MINERALS INC",0.065
183894,"PCD.UN","PATHFINDER INCOME FUND",8.42
183896,"CCM","CONCORD MEDICAL SVCS  -ADR",3.75
183902,"EFC","ELLINGTON FINANCIAL LLC",16.21
183903,"CALX","CALIX INC",6.85
183932,"HGSH","CHINA HGS REAL ESTATE INC",1.52
183942,"ST","SENSATA TECHNOLOGIES HLDG NV",42.72
183945,"CRMD","CORMEDIX INC",0.4284
183961,"SSPXF","SANDSPRING RESOURCES LTD",0.37
183963,"CHSP","CHESAPEAKE LODGING TRUST",24.47
183964,"MFON","MOBIVITY HOLDINGS CORP",0.79
183974,"SPSC","SPS COMMERCE INC",63.76
184009,"FNGN","FINANCIAL ENGINES INC",36.6
184012,"VRSEF","VERISANTE TECHNOLOGY INC",0.015
184035,"SEMG","SEMGROUP CORP",27
184040,"CIEIQ","COBALT INTL ENERGY INC",2.47
184045,"BLGVF","BELGRAVIA CAPITAL INTL INC",0.05
184046,"AVEO","AVEO PHARMACEUTICALS INC",2.22
184049,"CCGI","BLINK CHARGING CO",0.17
184053,"GOK.","GINSMS INC",0.265
184070,"KGJI","KINGOLD JEWELRY INC",1.66
184077,"MRIC","MRI INTERVENTIONS INC",3.7
184082,"MBCFF","ITAFOS",2
184086,"ENTCF","ENTREC CORP",0.165
184096,"CGDXF","CANDENTE GOLD CORP",0.035
184101,"TNAV","TELENAV INC",8.1
184102,"FLDPF","FRONTLINE GOLD CORP",0.025
184113,"VUZI","VUZIX CORP",6.55
184117,"AFCB","ATHENS BANCSHARES CORP",36.1
184133,"PPSI","PIONEER POWER SOLUTIONS INC",6.55
184149,"NAUH","NATIONAL AMERN UNIV HLDG INC",2.61
184155,"DQ","DAQO NEW ENERGY CORP",20.76
184157,"MSGN","MSG NETWORKS INC",22.45
184167,"FIBK","FIRST INTERSTATE BANCSYSTEM",37.2
184170,"VPY.","VERSAPAY CORP",1.35
184178,"NMKEF","NEMASKA LITHIUM INC",0.98
184182,"JKS","JINKOSOLAR HOLDING CO",20.8
184254,"APO","APOLLO GLOBAL MANAGEMENT LLC",26.45
184256,"IRWD","IRONWOOD PHARMACEUTICALS INC",18.88
184258,"PLOW","DOUGLAS DYNAMICS INC",32.9
184259,"SANW","S&W SEED CO",4.15
184263,"QNST","QUINSTREET INC",4.17
184265,"BGMZF","BARKERVILLE GOLD MINES LTD",0.87
184287,"SLRC","SOLAR CAPITAL LTD",21.87
184292,"CFGMF","CALIFORNIA GOLD MINING INC",0.37
184312,"HCMC","HEALTHIER CHOICES MNGMT CORP",1e-04
184323,"EXPR","EXPRESS INC",8.63
184336,"CIQ.UN","CANADIAN HIGH INCOME EQUITY",9.36
184352,"STNG","SCORPIO TANKERS INC",3.97
184378,"MSLP","MUSCLEPHARM CORP",2
184388,"SUIC","SINO UNITED WORLDWIDE CNSLDT",14.9
184392,"GDOT","GREEN DOT CORP",38.53
184395,"AMHPF","VERDE AGRITECH PLC",1.05
184413,"BXIOF","BIOX CORP",1.15
184436,"PKPH","PEAK PHARMACEUTICALS INC",0.0365
184442,"OAS","OASIS PETROLEUM INC",8.05
184446,"RIVVF","RIO NOVO GOLD INC",0.12
184453,"HTHT","CHINA LODGING GROUP LTD -ADR",80.68
184461,"MNTUF","MANITOU GOLD INC",0.085
184465,"AMPE","AMPIO PHARMACEUTICALS INC",0.5211
184487,"PTX","PERNIX THERAPEUTICS HOLDINGS",4.02
184498,"NSM","NATIONSTAR MORTGAGE HOLDINGS",17.89
184500,"CBOE","CBOE GLOBAL MARKETS INC",91.4
184514,"BSFT","BROADSOFT INC",43.05
184526,"PRMW","PRIMO WATER CORP",12.7
184527,"ABAC","RENMIN TIANLI GROUP INC",2.1001
184542,"GNMK","GENMARK DIAGNOSTICS INC",11.83
184543,"LWSCF","SIENNA SENIOR LIVING INC",17.97
184545,"SGOC","SGOCO GROUP LTD",1.15
184548,"SENZ","SPORT ENDURANCE INC",0.61
184551,"MXL","MAXLINEAR INC",27.89
184552,"NWHUF","NORTHWEST HEALTHCARE PPTYS",10.68
184569,"WMLP","WESTMORELAND RES PARTNERS LP",2.2086
184576,"ENV","ENVESTNET INC",39.6
184580,"EACO","EACO CORP",8.22
184582,"SECYF","SECURE ENERGY SERVICES INC",8.85
184585,"NVFY","NOVA LIFESTYLE INC",1.51
184604,"AOSL","ALPHA AND OMEGA SEMICONDUCTR",16.67
184615,"CLMPF","CLAIM POST RESOURCES INC",0.085
184619,"TPCA","TROPICANA ENTERTAINMENT INC",42.6
184651,"ATHOF","ATHABASCA OIL CORP",1.01
184652,"ERN","ERIN ENERGY CORP",1.45
184657,"PTRDF","PETRODORADO ENERGY LTD",0.125
184659,"SMGI.2","SMG INDIUM RESRCES LTD- OLD",0.24
184683,"BCRMF","BACANORA MINERALS LTD",1.24
184688,"CLDT","CHATHAM LODGING TRUST",20.09
184689,"GBDC","GOLUB CAPITAL BDC INC",19.12
184700,"FLT","FLEETCOR TECHNOLOGIES INC",144.21
184702,"NPTN","NEOPHOTONICS CORP",7.72
184711,"CGOOF","CONTINENTAL GOLD INC",3.82
184717,"AMRS","AMYRIS INC",3.18
184725,"NXPI","NXP SEMICONDUCTORS NV",109.45
184727,"SBOT","STELLAR BIOTECHNOLOGIES INC",1.22
184735,"TCRD","THL CREDIT INC",9.95
184744,"PNWRF","VALEURA ENERGY INC",0.7
184748,"QUAD","QUAD/GRAPHICS INC",22.92
184761,"XYLTF","SWEET NATURAL TRADING CO",0.1
184763,"IDMMF","IDM MINING LTD",0.15
184767,"BORN","CHINA NEW BORUN CORP -ADR",1.35
184785,"TOWR","TOWER INTERNATIONAL INC",22.45
184792,"TAKRF","CASTLE SILVER RESOURCES INC",0.255
184797,"RP","REALPAGE INC",35.95
184811,"BGAVF","BRAVADA GOLD CORP",0.24
184825,"CRDE","CARDINAL ETHANOL LLC",14000
184826,"GFGY","GRANITE FALLS ENERGY LLC",3000
184899,"FAF","FIRST AMERICAN FINANCIAL CP",44.69
184905,"TCNGF","TRICON CAPITAL GROUP INC",11.62
184946,"FCSMF","FOCUS GRAPHITE INC",0.08
184957,"WKHS","WORKHORSE GROUP INC",3.69
184990,"WKLDF","WEST KIRKLAND MINING INC",0.07
184994,"VLTC","VOLTARI CORP",0.89
184996,"TSLA","TESLA INC",361.61
185018,"HPP","HUDSON PACIFIC PPTYS INC",34.19
185030,"TAHO","TAHOE RESOURCES INC",8.62
185051,"CFXTF","CONIFEX TIMBER INC",3.12
185054,"PHMZF","PATIENT HOME MONITORING",0.425
185068,"RMSL","REMSLEEP HOLDINGS INC",35
185076,"TWY.","TWYFORD VENTURES INC",0.255
185103,"GSV","GOLD STANDARD VENTURES CORP",2.22
185112,"IPHI","INPHI CORP",34.3
185113,"STND","STANDARD FINANCIAL CORP",28.25
185119,"KEYW","KEYW HOLDING CORP",9.35
185125,"ELMD","ELECTROMED INC",5.53
185127,"REZZF","REDZONE RESOURCES LTD",0.2
185128,"AMRC","AMERESCO INC",7.7
185138,"VPG","VISHAY PRECISION GROUP INC",17.3
185163,"MQXDF","MARQUEE ENERGY LTD",0.07
185164,"TIER","TIER REIT INC",18.48
185168,"EMYB","EMBASSY BANCORP INC",14.97
185169,"XTNY","XIANGTIAN USA AIR POWER CO",2.75
185177,"COR","CORESITE REALTY CORP",103.53
185181,"ANFC","BLACK RIDGE OIL & GAS INC",0.035
185191,"LINU","LINIU TECHNOLOGY GROUP",0.52
185193,"XTNT","XTANT MEDICAL HOLDINGS INC",0.6601
185194,"BBRG","BRAVO BRIO RESTAURANT GP INC",4.6
185195,"VRA","VERA BRADLEY INC",9.15
185200,"CNKEF","CHINOOK ENERGY INC",0.34
185210,"CLCN","CREATIVE LEARNING CORP",0.209
185215,"TDRRF","TUDOR GOLD CORP",0.62
185229,"BWXT","BWX TECHNOLOGIES INC",48.75
185230,"SPGYF","WHITECAP RESOURCES INC",9.26
185259,"PBY.UN","CANSO CREDIT INCOME FUND",11.06
185276,"CALL","MAGICJACK VOCALTEC LTD",7.2
185277,"FMSA","FAIRMOUNT SANTROL HOLDINGS",3.9
185281,"TSGZF","TRISTAR GOLD INC",0.375
185289,"ASMB","ASSEMBLY BIOSCIENCES INC",20.65
185291,"TSG","THE STARS GROUP INC",17.9
185309,"MEGEF","MEG ENERGY CORP",3.81
185318,"SWFT","SWIFT TRANSPORTATION CO",26.5
185319,"MMYT","MAKEMYTRIP LTD",33.55
185323,"ENSV","ENSERVCO CORP",0.3101
185325,"DRLDF","DALRADIAN RESOURCES INC",1.69
185334,"PF","PINNACLE FOODS INC",59.4
185337,"CIVI","CIVITAS SOLUTIONS INC",17.5
185339,"STAG","STAG INDUSTRIAL INC",27.6
185341,"MKRYF","MANITOK ENERGY INC",0.075
185344,"BRSS","GLOBAL BRASS & COPPER HLDGS",30.55
185345,"APTS","PREFERRED APARTMENT CMNTYS",15.75
185353,"OSN","OSSEN INNOVATION CO LTD -ADR",2.2
185355,"HZNP","HORIZON PHARMA PLC",11.87
185369,"EGGLF","ENGAGEMENT LABS INC",0.05
185370,"WD","WALKER & DUNLOP INC",48.83
185372,"CLAR","CLARUS CORPORATION",6.65
185375,"EVTC","EVERTEC INC",17.3
185380,"LEDS","SEMILEDS CORP",2.93
185391,"PWON","POWIN ENERGY CORPORATION",2
185396,"INN","SUMMIT HOTEL PROPERTIES INC",18.65
185416,"EMGC","EMERGENT CAPITAL INC",0.33
185419,"PACB","PACIFIC BIOSCIENCES OF CALIF",3.56
185422,"CNNIF","FIRST ASSET CANBANC INCM CL",11.5
185428,"ECYT","ENDOCYTE INC",1.5
185448,"TPRFF","GRAN COLOMBIA GOLD CORP",1.44
185453,"WSR","WHITESTONE REIT",12.25
185454,"TGF.UN","TIMBERCREEK GLOBAL REAL EST",12.97
185476,"CORVF","CORVUS GOLD INC",0.86
185489,"FRRPF","FIERA CAPITAL CORP",13.75
185495,"ALQA","ALLIQUA BIOMEDICAL INC",0.37
185503,"CV.","CHANTRELL VENTURES CORP",0.075
185511,"SRMLF","STORM RESOURCES LTD",4.2
185518,"GLBR","GLOBAL BROKERAGE INC",2
185519,"FPRGF","FALCO RESOURCES LTD",1
185532,"TRGP","TARGA RESOURCES CORP",45.2
185542,"CCIH","CHINACACHE INTL HLDGS  -ADR",1.16
185549,"AAT","AMERICAN ASSETS TRUST INC",39.39
185550,"SFUN","FANG HOLDINGS LTD",3.71
185569,"OFED","OCONEE FEDERAL FINANCIAL CP",27.5
185585,"NMFC","NEW MOUNTAIN FINANCE CORP",14.55
185587,"SGLB","SIGMA LABS INC",2.11
185602,"FBMCF","BUFFALO COAL CORP",0.01
185618,"SBRA","SABRA HEALTH CARE REIT INC",24.1
185624,"SAVE","SPIRIT AIRLINES INC",51.65
185645,"GNC","GNC HOLDINGS INC",8.43
185646,"CSOD","CORNERSTONE ONDEMAND INC",35.75
185649,"GOMRF","GEOMEGA RESOURCES INC",0.07
185659,"ATOS","ATOSSA GENETICS INC",0.5001
185689,"PGLC","PERSHING GOLD CORP",2.79
185703,"LFGR","LEAF GROUP LTD",7.8
185706,"CCARF","COLONIAL COAL INTL CORP",0.15
185716,"ENZB","ENZYMEBIOSYSTEMS",0.05
185730,"CDBMF.1","CORDOBA MINERALS CORP - OLD",0.75
185733,"TAL","TAL EDUCATION GROUP",116.47
185741,"CINRF","FIRST ASSET CORE CDN EQ CL",20.27
185758,"VDTAF","VENDETTA MINING CORP",0.31
185769,"SODA","SODASTREAM INTERNATIONAL LTD",53.52
185770,"CMRE","COSTAMARE INC",7.31
185773,"SENY","SAUER ENERGY INC",0.0175
185774,"WHHT","WONHE HIGH-TECH INTL INC",0.177
185783,"NOAH","NOAH HOLDINGS LTD  -ADR",28.65
185797,"HHC","HOWARD HUGHES CORP",122.84
185821,"HRZN","HORIZON TECHNOLOGY FINANCE",11.33
185824,"BKU","BANKUNITED INC",33.71
185826,"NVIV","INVIVO THERAPEUTICS HLDGS CO",2.7
185833,"XRELF","EAGLE EXPLORATION LIMITED",0.12
185836,"PCRX","PACIRA PHARMACEUTICALS INC",47.7
185837,"BITA","BITAUTO HOLDINGS LTD  -ADR",28.75
185853,"RNSGF","RENAISSANCE GOLD INC",0.28
185855,"XNY.1","CHINA XINIYA FASHN -ADR -OLD",1.41
185859,"CLASF","COLORADO RESOURCES LTD",0.245
185880,"TGCDF","TERANGA GOLD CORP",3.51
185881,"BAH","BOOZ ALLEN HAMILTON HLDG CP",32.54
185903,"ACPGF","ATACAMA PACIFIC GOLD CORP",0.7
185908,"ACRX","ACELRX PHARMACEUTICALS INC",2.15
185921,"RNET","RIGNET INC",16.05
185930,"YHMGF","YELLOWHEAD MINING INC",0.61
185940,"LGDRF","SANDY LAKE GOLD INC",0.055
185948,"DBLVF","DOUBLEVIEW CAPITAL CORP",0.055
185950,"PTRA","PETROTERRA CORP",0.0264
185954,"CZGDF","CAZA GOLD CORP",0.015
185956,"TRMLF","TOURMALINE OIL CORP",27.88
185960,"STRDF","STRAD ENERGY SERVICES LTD",1.4
185970,"EGRGF","EAGLE ENERGY INC",0.395
185980,"HCOM","HAWAIIAN TELCOM HOLDCO INC",24.99
186013,"TRCH","TORCHLIGHT ENERGY RESOURCES",1.66
186019,"BKKN","BAKKEN RESOURCES INC",0.1159
186042,"MGDPF","MARATHON GOLD CORP",1.05
186059,"CSPGF","ALABAMA GRAPHITE CORP",0.14
186061,"LLEX","LILIS ENERGY INC",4.9
186071,"BXTMF","BRIXTON METALS CORP",0.325
186078,"RVEN","REVEN HOUSING REIT INC",4.952
186080,"NULGF","NULEGACY GOLD CORP",0.21
186091,"KRLTF","KARNALYTE RESOURCES INC",0.66
