"gvkey","tic","conm","prccq"
1690,"AAPL","APPLE INC",144.02
1704,"AMAT","APPLIED MATERIALS INC",40.61
1706,"ATU","ACTUANT CORP  -CL A",25.95
1712,"TREC","TRECORA RESOURCES",11.25
1718,"AOXY","ADVANCED OXYGEN TECHNOLOGY",0.1
1722,"ADM","ARCHER-DANIELS-MIDLAND CO",41.38
1743,"ARCB","ARCBEST CORP",20.6
1773,"ARW","ARROW ELECTRONICS INC",78.42
1783,"ARTW","ARTS WAY MFG INC",3.0384
1790,"AB.H","ASBESTOS CORP LTD",0.25
1794,"ASH","ASHLAND GLOBAL HOLDINGS INC",65.91
1820,"ALOT","ASTRONOVA INC",14.8
1823,"ATRO","ASTRONICS CORP",30.47
1828,"ACLLF","ATCO LTD  -CL I",50.71
1860,"ATW","ATWOOD OCEANICS",8.15
1864,"REX","REX AMERICAN RESOURCES CORP",94.68
1878,"ADSK","AUTODESK INC",90.07
1891,"ADP","AUTOMATIC DATA PROCESSING",102.46
1906,"AVHI","A V HOMES INC",20.05
1913,"AVY","AVERY DENNISON CORP",88.37
1919,"AVT","AVNET INC",38.88
1920,"AVP","AVON PRODUCTS",3.8
1926,"AZZ","AZZ INC",54.25
1932,"BTI","BRITISH AMER TOBACCO PLC",68.54
1949,"BRT","BRT APARTMENTS CORP",7.86
1968,"BMI","BADGER METER INC",39.85
1976,"BHI","BAKER HUGHES INC",54.51
1979,"BCPC","BALCHEM CORP  -CL B",77.71
1982,"BWINB","BALDWIN & LYONS  -CL B",24.5
1988,"BLL","BALL CORP",42.21
2002,"BPOP","POPULAR INC",41.71
2005,"BOH","BANK OF HAWAII CORP",82.97
2019,"BK","BANK OF NEW YORK MELLON CORP",51.02
2044,"BCR","BARD (C.R.) INC",316.11
2049,"B","BARNES GROUP INC",58.53
2052,"BRN","BARNWELL INDUSTRIES",1.81
2055,"ABX","BARRICK GOLD CORP",15.91
2080,"BSET","BASSETT FURNITURE INDS",29.7
2086,"BAX","BAXTER INTERNATIONAL INC",60.54
2101,"AIT","APPLIED INDUSTRIAL TECH INC",59.05
2109,"CHSO","CHINA SHOUGUAN MINING CORP",0.016
2111,"BDX","BECTON DICKINSON & CO",195.11
2124,"BELFB","BEL FUSE INC",24.7
2136,"VZ","VERIZON COMMUNICATIONS INC",44.66
2137,"BCE","BCE INC",58.4
2154,"BMS","BEMIS CO INC",46.25
2176,"BRK.B","BERKSHIRE HATHAWAY",169.37
2184,"BBY","BEST BUY CO INC",51.81
2220,"BIO","BIO-RAD LABORATORIES INC",226.31
2240,"NIMU","NON INVASIVE MONITOR",0.1799
2259,"BKH","BLACK HILLS CORP",67.47
2269,"HRB","BLOCK H & R INC",24.79
2270,"ESV","ENSCO PLC",5.16
2277,"BRRE","BLUE RIDGE REAL ESTATE CO",7.75
2282,"BOBE","BOB EVANS FARMS",66.74
2285,"BA","BOEING CO",197.75
2312,"RHI","ROBERT HALF INTL INC",47.93
2337,"RFP","RESOLUTE FOREST PRODUCTS INC",4.4
2342,"BWL.A","BOWL AMERICA INC  -CL A",14.3135
2352,"BRC","BRADY CORP",38.95
2369,"BAM","BROOKFIELD ASSET MANAGEMENT",39.21
2390,"BRID","BRIDGFORD FOODS CORP",12.42
2393,"BGG","BRIGGS & STRATTON",24.1
2403,"BMY","BRISTOL-MYERS SQUIBB CO",55.72
2408,"TU","TELUS CORP",44.77
2410,"BP","BP PLC",34.65
2411,"BT","BT GROUP PLC",19.41
2435,"BF.B","BROWN FORMAN CORP",47.32
2436,"CAL","CALERES INC",28.82
2444,"BC","BRUNSWICK CORP",62.73
2448,"MTRN","MATERION CORP",37.4
2485,"CXEE","CHINA XUEFENG ENVIRON ENGR",4.11
2497,"MTZ","MASTEC INC",45.15
2504,"UIS","UNISYS CORP",12.8
2519,"BUKS","BUTLER NATIONAL CORP",0.32
2526,"CAE","CAE INC",22.36
2536,"ACXM","ACXIOM CORP",25.98
2538,"CDI","CDI CORP",5.85
2547,"CI","CIGNA CORP",167.39
2556,"CSS","CSS INDUSTRIES INC",26.16
2558,"CNA","CNA FINANCIAL CORP",48.75
2573,"CSPI","CSP INC",10.78
2574,"CSX","CSX CORP",54.56
2577,"CTS","CTS CORP",21.6
2581,"CVV","CVD EQUIPMENT CORP",11.07
2593,"CBT","CABOT CORP",53.43
2596,"CACI","CACI INTL INC  -CL A",125.05
2615,"CAMP","CALAMP CORP",18.9
2626,"KRED","KONARED CORP",0.0684
2628,"CWT","CALIFORNIA WATER SERVICE GP",36.8
2663,"CPB","CAMPBELL SOUP CO",57.54
2675,"MLFNF","MAPLE LEAF FOODS INC",32.74
2696,"CNI","CANADIAN NATIONAL RAILWAY CO",105.22
2698,"CP","CANADIAN PACIFIC RAILWAY LTD",208.65
2703,"CDNAF","CANADIAN TIRE CORP  -CL A",147.56
2710,"STZ","CONSTELLATION BRANDS",182.75
2721,"CAJ","CANON INC",34.02
2735,"CPTP","CAPITAL PROPERTIES INC",13.55
2751,"CAH","CARDINAL HEALTH INC",77.92
2771,"CSL","CARLISLE COS INC",95.4
2777,"ASWRF","GUNGNIR RESOURCES INC",0.06
2787,"CRS","CARPENTER TECHNOLOGY CORP",37.43
2807,"CASY","CASEYS GENERAL STORES INC",112.07
2811,"CTAM","CASTLE (A M) & CO",0.115
2817,"CAT","CATERPILLAR INC",107.46
2818,"CATO","CATO CORP  -CL A",22.56
2820,"CVCO","CAVCO INDUSTRIES INC",129.65
2829,"RFIL","R F INDUSTRIES LTD",1.6
2852,"CTNR","CENTRAL NATURAL RES INC",13.11
2865,"CSTW","CENTRAL STEEL & WIRE CO",555
2884,"CTL","CENTURYLINK INC",23.88
2940,"MGLN","MAGELLAN HEALTH INC",72.9
2942,"CMD","CANTEL MEDICAL CORP",74.41
2960,"CHE","CHEMED CORP",204.53
2968,"JPM","JPMORGAN CHASE & CO",91.4
2986,"CPK","CHESAPEAKE UTILITIES CORP",74.95
2990,"CLSN","CELSION CORP",2.05
2991,"CVX","CHEVRON CORP",104.33
2999,"CVR","CHICAGO RIVET & MACHINE CO",37.3523
3007,"EAT","BRINKER INTL INC",38.1
3026,"CHD","CHURCH & DWIGHT INC",51.88
3028,"CHDN","CHURCHILL DOWNS INC",183.3
3036,"CBB","CINCINNATI BELL INC",19.55
3062,"CTAS","CINTAS CORP",125.88
3105,"IHRT","IHEARTMEDIA INC",1.65
3107,"CLF","CLEVELAND-CLIFFS INC",6.92
3121,"CLX","CLOROX CO/DE",133.24
3138,"COKE","COCA-COLA BTLNG CONS",228.87
3144,"KO","COCA-COLA CO",44.85
3153,"CDE","COEUR MINING INC",8.58
3157,"COHR","COHERENT INC",224.99
3158,"COHU","COHU INC",15.74
3169,"OMED","ONCOMED PHARMACEUTICALS",3.33
3170,"CL","COLGATE-PALMOLIVE CO",74.13
3184,"CCOM","CCOM GROUP INC",0.52
3203,"CCF","CHASE CORP",105.5
3218,"CMRO","COMARCO INC",0.061
3221,"AON","AON PLC",132.95
3226,"CMCSA","COMCAST CORP",38.92
3231,"CMA","COMERICA INC",73.24
3238,"CBSH","COMMERCE BANCSHARES INC",56.83
3243,"C","CITIGROUP INC",66.88
3246,"CMC","COMMERCIAL METALS",18.1
3275,"JCS","COMMUNICATIONS SYSTEMS INC",4.33
3278,"CAR","AVIS BUDGET GROUP INC",27.27
3310,"CA","CA INC",34.47
3336,"DXC","DXC TECHNOLOGY COMPANY",76.72
3342,"CTG","COMPUTER TASK GROUP INC",5.59
3358,"CMTL","COMTECH TELECOMMUN",14.01
3362,"CAG","CONAGRA BRANDS INC",38.54
3369,"RAVE","RAVE RESTAURANT GROUP INC",2.01
3382,"SSTK","SHUTTERSTOCK INC",44.08
3394,"CTWS","CONNECTICUT WATER SVC INC",55.51
3410,"TCI","TRANSCONTINENTAL RLTY INVS",26.89
3413,"ED","CONSOLIDATED EDISON INC",80.82
3424,"BH","BIGLARI HOLDINGS INC",399.74
3429,"CTO","CONSOLIDATED TOMOKA LAND CO",56.95
3439,"CMS","CMS ENERGY CORP",46.25
3465,"CUO","CONTINENTAL MATERIALS CORP",19.1
3469,"CLR","CONTINENTAL RESOURCES INC",32.33
3502,"CTB","COOPER TIRE & RUBBER CO",36.1
3504,"COO","COOPER COMPANIES INC",200.33
3505,"TAP","MOLSON COORS BREWING CO",86.34
3516,"CBYDF","CORBY SPIRIT AND WINE LTD",21.21
3532,"GLW","CORNING INC",30.05
3533,"CNIG","CORNING NATURAL GAS HLDG CP",19.35
3562,"CUZ","COUSINS PROPERTIES INC",8.79
3570,"CBRL","CRACKER BARREL OLD CTRY STOR",160.19
3580,"CR","CRANE CO",79.38
3581,"CRD.B","CRAWFORD & CO",9.3
3592,"OMF","ONEMAIN HOLDINGS INC",24.59
3619,"CCK","CROWN HOLDINGS INC",59.66
3622,"CRWS","CROWN CRAFTS INC",6.95
3639,"CUB","CUBIC CORP",46.3
3643,"CFR","CULLEN/FROST BANKERS INC",93.91
3647,"CULP","CULP INC",32.1
3650,"CMI","CUMMINS INC",162.22
3662,"CW","CURTISS-WRIGHT CORP",91.78
3691,"GTBP","GT BIOPHARMA INC",0.017
3707,"DST","DST SYSTEMS INC",61.7
3708,"WEN","WENDY'S CO",15.51
3734,"DAN","DANA INC",22.33
3735,"DHR","DANAHER CORP",84.39
3761,"DAIO","DATA I/O CORP",7.95
3806,"DWSN","DAWSON GEOPHYSICAL CO",3.92
3813,"TGT","TARGET CORP",55.85
3835,"DE","DEERE & CO",111.61
3851,"DAL","DELTA AIR LINES INC",53.74
3855,"DGAS","DELTA NATURAL GAS CO INC",30.47
3863,"DLX","DELUXE CORP",69.22
3895,"DTRX","DETREX CORP",22.45
3897,"DTE","DTE ENERGY CO",105.79
3905,"ATGE","ADTALEM GLOBAL EDUCATION INC",37.95
3908,"DEWY","DEWEY ELECTRONICS CORP",1.5
3937,"AOI","ALLIANCE ONE INTL INC",14.4
3946,"DBD","DIEBOLD NIXDORF INC",28
3962,"NSYS","NORTECH SYSTEMS INC",3.58
3964,"DDS","DILLARDS INC  -CL A",55.37
3969,"DIOD","DIODES INC",24.03
3980,"DIS","DISNEY (WALT) CO",106.25
4001,"DXYN","DIXIE GROUP INC",4.461
4016,"DG","DOLLAR GENERAL CORP",72.71
4019,"WFSTF","WESTERN FOREST PRODUCTS INC",2.34
4029,"D","DOMINION ENERGY INC",76.63
4036,"DCI","DONALDSON CO INC",46.28
4040,"RRD","DONNELLEY (R R) & SONS CO",12.54
4045,"DMLP","DORCHESTER MINERALS  -LP",14.45
4058,"DOV","DOVER CORP",80.22
4060,"DWDP","DOWDUPONT INC",63.07
4066,"OMC","OMNICOM GROUP",82.9
4072,"ASNA","ASCENA RETAIL GROUP INC",3.91
4087,"DD","DU PONT (E I) DE NEMOURS",80.71
4091,"DCO","DUCOMMUN INC",31.58
4093,"DUK","DUKE ENERGY CORP",83.59
4094,"DNB","DUN & BRADSTREET CORP",108.15
4108,"FLS","FLOWSERVE CORP",46.43
4115,"DY","DYCOM INDUSTRIES INC",105.66
4124,"DYNT","DYNATRONICS CORP",2.8
4130,"DYSL","DYNASIL CORP OF AMERICA",1.23
4145,"PKI","PERKINELMER INC",68.14
4156,"STS","SUPREME INDUSTRIES INC",16.45
4186,"EML","EASTERN CO",30.05
4193,"EGP","EASTGROUP PROPERTIES",83.8
4194,"KODK","EASTMAN KODAK CO",9.1
4199,"ETN","EATON CORP PLC",77.83
4201,"EV","EATON VANCE CORP",42.93
4213,"ECL","ECOLAB INC",132.75
4225,"EDUC","EDUCATIONAL DEVELOPMENT CORP",9.85
4241,"EE","EL PASO ELECTRIC CO",51.7
4274,"ESIO","ELECTRO SCIENTIFIC INDS INC",8.24
4275,"ELSE","ELECTRO-SENSORS INC",3.61
4292,"ETCIA","ELECTR TELE-COMMUNCTN",0.13
4311,"ELRNF","ELRON ELECTRONIC INDS LTD",5.82
4321,"EMR","EMERSON ELECTRIC CO",59.62
4322,"MSN","EMERSON RADIO CORP",1.3901
4341,"SORL","SORL AUTO PARTS INC",6.68
4351,"EGN","ENERGEN CORP",49.37
4367,"WFT","WEATHERFORD INTL PLC",3.87
4383,"ATO","ATMOS ENERGY CORP",82.95
4384,"MARA","MARATHON PATENT GROUP INC",0.378
4390,"EBF","ENNIS INC",16.05
4409,"ENZN","ENZON PHARMACEUTICALS INC",0.365
4412,"VKSC","VISKASE COMPANIES INC",3.75
4415,"ETCC","ENVIRONMENTAL TECTONICS CORP",0.47
4418,"ENZ","ENZO BIOCHEM INC",8.8
4423,"EFX","EQUIFAX INC",137.42
4430,"EQT","EQT CORP",58.59
4439,"ERIC","TELEFONAKTIEBOLAGET LM ERICS",7.17
4448,"ESCA","ESCALADE INC",13.1
4450,"ESP","ESPEY MFG & ELECTRONICS CORP",22.42
4460,"ESL","ESTERLINE TECHNOLOGIES CORP",94.8
4462,"NEU","NEWMARKET CORP",460.48
4467,"ESCC","EVANS & SUTHERLAND CMP CORP",1.23
4485,"KINS","KINGSTONE COS INC",15.3
4494,"EXPD","EXPEDITORS INTL WASH INC",56.48
4497,"BOOM","DMC GLOBAL INC",13.1
4498,"IIIN","INSTEEL INDUSTRIES",32.97
4503,"XOM","EXXON MOBIL CORP",80.73
4510,"FMC","FMC CORP",73.05
4517,"NEE","NEXTERA ENERGY INC",140.13
4579,"FARM","FARMER BROS CO",30.25
4598,"FDX","FEDEX CORP",193.84
4599,"RUSMF","RUSSEL METALS INC",25.96
4601,"FNMA","FANNIE MAE",2.33
4605,"FRT","FEDERAL REALTY INVESTMENT TR",126.39
4607,"FSCR","FEDERAL SCREW WORKS",9
4608,"FSS","FEDERAL SIGNAL CORP",17.36
4611,"M","MACY'S INC",29.22
4622,"FOE","FERRO CORP",18.29
4632,"CLBS","CALADRIUS BIOSCIENCES INC",4.65
4640,"FITB","FIFTH THIRD BANCORP",25.96
4669,"FINGF","FINNING INTERNATIONAL INC",25.42
4674,"RF","REGIONS FINANCIAL CORP",14.64
4685,"TRMK","TRUSTMARK CORP",32.16
4690,"FCNCA","FIRST CITIZENS BANCSH  -CL A",372.7
4695,"FCIC","FCCC INC",0.1701
4699,"MTB","M & T BANK CORP",161.95
4707,"FHRT","FIRST HARTFORD CORP",2.9
4723,"USB","U S BANCORP",51.92
4737,"FHN","FIRST HORIZON NATIONAL CORP",17.42
4759,"BDL","FLANIGANS ENTERPRISES INC",30.2
4763,"MALJF","MAGELLAN AEROSPACE CORP",20.24
4771,"FLXS","FLEXSTEEL INDUSTRIES INC",54.11
4809,"FLO","FLOWERS FOODS INC",17.31
4818,"FLR","FLUOR CORP",45.78
4826,"FONR","FONAR CORP",27.75
4839,"F","FORD MOTOR CO",11.19
4842,"FCE.A","FOREST CITY REALTY TRUST INC",24.17
4860,"FSTR","FOSTER (LB) CO",21.45
4881,"FELE","FRANKLIN ELECTRIC CO INC",41.4
4885,"BEN","FRANKLIN RESOURCES INC",44.79
4900,"FEIM","FREQUENCY ELECTRONICS INC",10.5
4903,"FRD","FRIEDMAN INDUSTRIES INC",5.68
4925,"FUJIY","FUJIFILM HLDGS CORP",35.956
4926,"FUL","FULLER (H. B.) CO",50.75
4941,"GATX","GATX CORP",64.27
4973,"AJG","ARTHUR J GALLAGHER & CO",57.25
4988,"TGNA","TEGNA INC",14.41
4990,"GPS","GAP INC",26.2
5018,"AJRD","AEROJET ROCKETDYNE HOLDINGS",20.8
5019,"GNDIF","GENDIS INC  -CL A",2.77
5046,"GD","GENERAL DYNAMICS CORP",198.1
5047,"GE","GENERAL ELECTRIC CO",27.01
5050,"JOB","GEE GROUP INC",5.16
5071,"GIS","GENERAL MILLS INC",56.74
5072,"ALLY","ALLY FINANCIAL INC",20.9
5073,"GM","GENERAL MOTORS CO",34.93
5087,"SPXC","SPX CORP",25.16
5109,"GCO","GENESCO INC",53.3
5116,"GNTX","GENTEX CORP",18.97
5125,"GPC","GENUINE PARTS CO",92.76
5149,"GTY","GETTY REALTY CORP",25.1
5165,"GIGA","GIGA-TRONICS INC",0.79
5179,"GLT","GLATFELTER",19.54
5180,"GSK","GLAXOSMITHKLINE PLC",43.12
5205,"GDRZF","GOLD RESERVE INC",2.7827
5218,"GV","GOLDFIELD CORP",5.5
5234,"GT","GOODYEAR TIRE & RUBBER CO",34.96
5237,"GRC","GORMAN-RUPP CO",25.47
5250,"GRA","GRACE (W R) & CO",72.01
5252,"GGG","GRACO INC",109.28
5254,"GHM","GRAHAM CORP",19.66
5256,"GWW","GRAINGER (W W) INC",180.53
5284,"GTN","GRAY TELEVISION INC",13.7
5298,"HEN.UN","ENERGY LEADERS INCOME FUND",6.5
5299,"JFTSF","JFT STRATEGIES FUND",14.44
5338,"GEF","GREIF INC  -CL A",58.62
5342,"MGI","MONEYGRAM INTERNATIONAL INC",17.25
5379,"GLF","GULFMARK OFFSHORE INC",0.22
5395,"GYRO","GYRODYNE LLC",20.5025
5408,"HMG","HMG COURTLAND PROPERTIES",11.11
5439,"HAL","HALLIBURTON CO",42.71
5492,"HRS","HARRIS CORP",109.08
5496,"HSC","HARSCO CORP",16.1
5518,"HAS","HASBRO INC",111.51
5520,"AMOT","ALLIED MOTION TECHNOLOGIES",27.22
5523,"HVT","HAVERTY FURNITURE",25.1
5526,"HE","HAWAIIAN ELECTRIC INDS",32.38
5530,"HWKN","HAWKINS INC",46.35
5539,"HCSG","HEALTHCARE SERVICES GROUP",46.83
5543,"HCN","WELLTOWER INC",74.85
5559,"STRL","STERLING CONSTRUCTION CO INC",13.07
5560,"HL","HECLA MINING CO",5.1
5567,"HEI","HEICO CORP",71.07
5568,"KHC","KRAFT HEINZ CO",85.64
5572,"HELE","HELEN OF TROY LTD",91
5581,"HP","HELMERICH & PAYNE",54.34
5583,"HMENF","HEMISPHERE ENERGY CORP",0.21
5597,"HSY","HERSHEY CO",107.37
5600,"HTZ","HERTZ GLOBAL HOLDINGS INC",11.5
5606,"HPQ","HP INC",18.82
5608,"HXL","HEXCEL CORP",52.79
5621,"HICKA","HICKOK INC  -CL A",5.25
5639,"HRC","HILL-ROM HOLDINGS INC",79.61
5643,"HLT","HILTON WORLDWIDE HOLDINGS",61.85
5650,"HTHIY","HITACHI LTD",61.356
5667,"HFC","HOLLYFRONTIER CORP",27.47
5671,"PNK","PINNACLE ENTERTAINMENT INC",19.76
5680,"HD","HOME DEPOT INC",156.1
5681,"HOFD","HOMEFED CORP",45
5690,"HNI","HNI CORP",39.87
5691,"HMC","HONDA MOTOR CO LTD",27.39
5697,"HPHW","HOOPER HOLMES INC",0.72
5709,"HRL","HORMEL FOODS CORP",35.08
5742,"CNP","CENTERPOINT ENERGY INC",27.38
5750,"HOV","HOVNANIAN ENTRPRS INC  -CL A",2.34
5763,"UBA","URSTADT BIDDLE PROPERTIES",19.66
5764,"HUBB","HUBBELL INC",113.17
5770,"HBAYF","HUDSON'S BAY CO",12.48
5783,"JBHT","HUNT (JB) TRANSPRT SVCS INC",91.38
5786,"HBAN","HUNTINGTON BANCSHARES",13.52
5788,"HURC","HURCO COMPANIES INC",29
5792,"HBP","HUTTIG BUILDING PRODUCTS INC",7.01
5831,"IEC","IEC ELECTRONICS CORP",3.6
5849,"BBX","BBX CAPITAL CORPORATION",6.58
5860,"ITT","ITT INC",40.18
5862,"RYN","RAYONIER INC",28.77
5870,"IDA","IDACORP INC",85.35
5878,"ITW","ILLINOIS TOOL WORKS",143.25
5888,"TLGT","TELIGENT INC",9.15
5902,"IMMU","IMMUNOMEDICS INC",8.83
5903,"IMO","IMPERIAL OIL LTD",37.8
5918,"VVC","VECTREN CORP",58.44
5932,"IEHC","IEH CORP",6.36
5959,"IR","INGERSOLL-RAND PLC",91.39
5968,"RYI","RYERSON HOLDING CORP",9.9
5978,"AEGN","AEGION CORP",21.88
5987,"GFF","GRIFFON CORP",21.95
6003,"IDTI","INTEGRATED DEVICE TECH INC",25.79
6008,"INTC","INTEL CORP",33.74
6013,"INS","INTELLIGENT SYSTEM CORP",3.5
6021,"INRD","INRAD OPTICS INC",0.85
6033,"ITDN","INTERDYNE CO",0.027
6034,"TILE","INTERFACE INC",19.65
6066,"IBM","INTL BUSINESS MACHINES CORP",153.83
6078,"IFF","INTL FLAVORS & FRAGRANCES",135
6081,"NAV","NAVISTAR INTERNATIONAL CORP",26.91
6100,"IDCC","INTERDIGITAL INC",77.3
6104,"IP","INTL PAPER CO",56.61
6116,"ISCA","INTL SPEEDWAY CORP  -CL A",35.3
6135,"ENB","ENBRIDGE INC",51.66
6136,"IPG","INTERPUBLIC GROUP OF COS",24.6
6158,"IVC","INVACARE CORP",13.2
6194,"ISRL","ISRAMCO INC",114.95
6196,"AXE","ANIXTER INTL INC",78.2
6216,"JEC","JACOBS ENGINEERING GROUP INC",54.39
6223,"EME","EMCOR GROUP INC",65.38
6233,"MFCB","MFC BANCORP LTD",1.78
6266,"JNJ","JOHNSON & JOHNSON",132.29
6268,"JCI","JOHNSON CONTROLS INTL PLC",43.36
6304,"KLAC","KLA-TENCOR CORP",91.51
6307,"SHLD","SEARS HOLDINGS CORP",10.22
6310,"KMI","KINDER MORGAN INC",19.16
6311,"PNRG","PRIMEENERGY CORP",47.05
6326,"KAMN","KAMAN CORP",49.87
6333,"KCLI","KANSAS CITY LIFE INS CO",49.5
6334,"GXP","GREAT PLAINS ENERGY INC",29.28
6335,"KSU","KANSAS CITY SOUTHERN",104.65
6338,"WR","WESTAR ENERGY INC",53.02
6375,"K","KELLOGG CO",69.46
6379,"KELYA","KELLY SERVICES INC  -CL A",22.45
6386,"KMT","KENNAMETAL INC",37.42
6396,"IHRC","INVESTORS HERITAGE CAP CORP",17.3
6410,"KEQU","KEWAUNEE SCIENTIFIC CORP",22.9
6416,"KTCC","KEY TRONIC CORP",7.0899
6433,"KBAL","KIMBALL INTERNATIONAL  -CL B",16.69
6435,"KMB","KIMBERLY-CLARK CORP",129.11
6461,"KEX","KIRBY CORP",66.85
6494,"KMTUY","KOMATSU LTD",25.405
6497,"KOSS","KOSS CORP",1.81
6502,"KR","KROGER CO",29.65
6506,"KUBTY","KUBOTA CORP",83.993
6509,"KLIC","KULICKE & SOFFA INDUSTRIES",19.02
6512,"KYO","KYOCERA CORP",58.27
6527,"LYTS","LSI INDUSTRIES INC",9.05
6528,"LXU","LSB INDUSTRIES INC",10.33
6532,"XCRA","XCERRA CORP",9.8
6543,"LZB","LA-Z-BOY INC",27.9
6547,"SR","SPIRE INC",69.75
6565,"LRCX","LAM RESEARCH CORP",141.43
6573,"LANC","LANCASTER COLONY CORP",122.62
6574,"LNCE","SNYDERS-LANCE INC",34.62
6617,"LAWS","LAWSON PRODUCTS",22.15
6639,"LEE","LEE ENTERPRISES INC",1.9
6649,"LEG","LEGGETT & PLATT INC",52.53
6653,"LM","LEGG MASON INC",38.16
6669,"LEN","LENNAR CORP",51.31
6672,"LEFUF","LEON'S FURNITURE LTD",17.55
6682,"LUK","LEUCADIA NATIONAL CORP",26.16
6730,"LLY","LILLY (ELI) & CO",82.3
6733,"LB","L BRANDS INC",52.81
6737,"LECO","LINCOLN ELECTRIC HLDGS INC",92.09
6742,"LNC","LINCOLN NATIONAL CORP",67.58
6771,"LBLCF","LOBLAW COMPANIES LTD",72.14
6774,"LMT","LOCKHEED MARTIN CORP",277.61
6781,"L","LOEWS CORP",46.81
6788,"RRC","RANGE RESOURCES CORP",23.17
6791,"FAC","FIRST ACCEPTANCE CORP",1.14
6821,"LPX","LOUISIANA-PACIFIC CORP",24.11
6829,"LOW","LOWE'S COMPANIES INC",84.88
6831,"LUB","LUBYS INC",2.66
6845,"LDL","LYDALL INC",51.7
6848,"LGL","LGL GROUP INC",4.82
6865,"MDC","MDC HOLDINGS INC",35.33
6867,"MDU","MDU RESOURCES GROUP INC",26.2
6900,"MTSC","MTS SYSTEMS CORP",51.8
6930,"PALDF","NORTH AMERICAN PALLADIUM",5
6932,"MGEE","MGE ENERGY INC",64.35
6946,"MGA","MAGNA INTERNATIONAL INC",46.33
6972,"MKTAY","MAKITA CORP",36.979
6994,"MTW","MANITOWOC CO",6.01
7017,"MRO","MARATHON OIL CORP",11.85
7022,"MCS","MARCUS CORP",30.2
7034,"MARPS","MARINE PETROLEUM TRUST",3.74
7063,"HST","HOST HOTELS & RESORTS INC",18.27
7065,"MMC","MARSH & MCLENNAN COS",77.96
7085,"MAS","MASCO CORP",38.21
7092,"CCUR","CCUR HOLDINGS INC",6.65
7095,"IMUN","IMMUNE THERAPEUTICS INC",0.0496
7114,"PCRFY","PANASONIC CORP",13.564
7116,"MAT","MATTEL INC",21.53
7117,"MLP","MAUI LAND & PINEAPPLE CO",20.3
7124,"MXWL","MAXWELL TECHNOLOGIES INC",5.99
7138,"MAYS","MAYS (J.W.) INC",39.85
7146,"MKC","MCCORMICK & CO INC",104.15
7152,"MDR","MCDERMOTT INTL INC",7.17
7154,"MCD","MCDONALD'S CORP",153.16
7161,"MGRC","MCGRATH RENTCORP",34.63
