"gvkey","tic","conm","prccq"
24620,"RHP","RYMAN HOSPITALITY PPTYS INC",64.01
24625,"TOT","TOTAL SA",49.59
24627,"DDEJF","DUNDEE CORP",2.85
24638,"TRU","TRANSUNION",43.31
24649,"ACKBF","BOW ENERGY LTD",0.13
24658,"SSC","SEVEN STARS CLOUD GROUP INC",1.77
24660,"ARCI","APPLIANCE RECYCLING CTR AMER",0.7901
24670,"ARIS","ARI NETWORK SERVICES INC",5.24
24678,"HMN","HORACE MANN EDUCATORS CORP",37.8
24708,"ATNI","ATN INTERNATIONAL INC",68.44
24710,"BSTC","BIOSPECIFICS TECHNOLOGIES CP",49.51
24720,"WNC","WABASH NATIONAL CORP",21.98
24724,"LILA","LIBERTY LATIN AMERICA LTD",21.77
24725,"WRLD","WORLD ACCEPTANCE CORP/DE",74.91
24730,"CLOW","CLOUDWEB INC",0.0073
24731,"KIM","KIMCO REALTY CORP",18.35
24750,"WETF","WISDOMTREE INVESTMENTS INC",10.17
24755,"JBSS","SANFILIPPO JOHN B&SON",63.11
24782,"PRGO","PERRIGO CO PLC",75.52
24783,"TTEK","TETRA TECH INC",45.75
24795,"AMSC","AMERICAN SUPERCONDUCTOR CP",4.62
24797,"BLGO","BIOLARGO INC",0.4305
24800,"QCOM","QUALCOMM INC",55.22
24810,"EEP","ENBRIDGE ENERGY PRTNRS  -LP",16
24819,"MOGOF","MOGO FINANCE TECHNOLOGY INC",4.76
24825,"OFC","CORPORATE OFFICE PROPERT",35.03
24837,"AHPI","ALLIED HEALTHCARE PRODS INC",2.89
24842,"PEYE","PRECISION OPTICS CORP INC",0.6
24844,"SPOK","SPOK HOLDINGS INC",17.7
24853,"SPNC","SPECTRANETICS CORP",38.4
24856,"GILD","GILEAD SCIENCES INC",70.78
24861,"PLNT","PLANET FITNESS INC",23.34
24878,"PDLI","PDL BIOPHARMA INC",2.47
24888,"ABAX","ABAXIS INC",53.02
24890,"MSON","MISONIX INC",9.55
24893,"WFM","WHOLE FOODS MARKET INC",42.11
24901,"LMFA","LM FUNDING AMERICA INC",4.1665
24905,"RUN","SUNRUN INC",7.12
24911,"MCFT","MCBC HOLDINGS INC",19.55
24912,"ACFN","ACORN ENERGY INC",0.2298
24925,"ROP","ROPER TECHNOLOGIES INC",231.53
24932,"MAMTF","MCAN MORTGAGE CORP",14.9
24937,"MJCO","MAJESCO",4.93
24943,"ITPOF","INTERTAPE POLYMER GROUP INC",18.9
24944,"HRNNF","HYDRO ONE LTD",23.23
24965,"TNH","TERRA NITROGEN CO  -LP",85.86
24966,"GOVX","GEOVAX LABS INC",0.0388
24975,"SNPS","SYNOPSYS INC",73.7
24978,"ELY","CALLAWAY GOLF CO",12.78
24980,"CRT","CROSS TIMBERS ROYALTY TRUST",15.32
24990,"BETR","AMPLIFY SNACK BRANDS",9.64
24996,"BTX","BIOTIME INC",3.15
25024,"FCO","ABERDEEN GLOBAL INCOME FD",8.62
25027,"LFVN","LIFEVANTAGE CORP",4.33
25030,"VRTS","VIRTUS INVESTMENT PTNRS INC",110.95
25047,"SCLN","SCICLONE PHARMACEUTICALS INC",11
25055,"ARCTF","AURICO METALS INC",0.87
25056,"TWX","TIME WARNER INC",100.41
25069,"USAK","USA TRUCK INC",8.66
25077,"AIMT","AIMMUNE THERAPEUTICS INC",20.56
25088,"AERG","APPLIED ENERGETICS INC",0.0551
25089,"OPMZ","1PM INDUSTRIES INC",0.0014
25092,"TGB","TASEKO MINES LTD",1.64
25105,"CNFR","CONIFER HOLDINGS INC",6.9
25106,"TROIF","TRI ORIGIN EXPLORATION LTD",0.035
25108,"CBK","CHRISTOPHER & BANKS CORP",1.23
25110,"ICUI","ICU MEDICAL INC",172.5
25119,"MHK","MOHAWK INDUSTRIES INC",241.69
25124,"PX","PRAXAIR INC",132.55
25128,"ZYNE","ZYNERBA PHARMACEUTICALS INC",16.97
25129,"SRRA","SIERRA ONCOLOGY",1.17
25130,"NCS","NCI BUILDING SYSTEMS INC",17.5
25138,"ASUR","ASURE SOFTWARE INC",14.61
25145,"CRWN.","CROWN CAPITAL PARTNERS INC",10.7
25157,"FDC","FIRST DATA CORP",18.2
25166,"KOPN","KOPIN CORP",3.71
25167,"TLRD","TAILORED BRANDS INC",12.33
25173,"RNST","RENASANT CORP",43.74
25180,"AGCO","AGCO CORP",67.39
25186,"SMRT","STEIN MART INC",2.47
25198,"LPAD","LAPOLLA INDUSTRIES INC",0.505
25201,"CASS","CASS INFORMATION SYSTEMS INC",65.64
25219,"HLI","HOULIHAN LOKEY INC",34.9
25234,"BKE","BUCKLE INC",18.7
25274,"OLED","UNIVERSAL DISPLAY CORP",109.25
25279,"BSX","BOSTON SCIENTIFIC CORP",27.72
25283,"KSS","KOHL'S CORP",39.03
25289,"VBIV","VBI VACCINES INC",4.35
25297,"PTSC","PATRIOT SCIENTIFIC CORP",0.025
25302,"INTZ","INTRUSION INC",0.4399
25304,"SCCAF","SLEEP COUNTRY CDA HLDGS INC",41.15
25313,"STE","STERIS PLC",81.5
25318,"USPH","U S PHYSICAL THERAPY INC",60.4
25320,"DWCH","DATAWATCH CORP",9.3
25327,"PVBC","PROVIDENT BANCORP INC",22.5
25331,"FC","FRANKLIN COVEY CO",19.75
25332,"LOOP","LOOP INDUSTRIES INC",8.049
25333,"PFOH","PERPETUAL FEDERAL SAVINGS BK",26.7
25338,"BBBY","BED BATH & BEYOND INC",34.41
25339,"CACC","CREDIT ACCEPTANCE CORP",257.14
25340,"DHI","D R HORTON INC",34.57
25348,"NK","NANTKWEST INC",7.59
25349,"GBT","GLOBAL BLOOD THERAPEUTICS",27.35
25356,"ESRX","EXPRESS SCRIPTS HOLDING CO",63.84
25357,"FINL","FINISH LINE INC  -CL A",14.11
25360,"BNET","BION ENVIRONMENTAL TECH INC",0.91
25365,"GTMAY","GRUPO TMM S.A.B",1.514
25367,"MGIC","MAGIC SOFTWARE ENTERPRISES",7.95
25376,"COLB","COLUMBIA BANKING SYSTEM INC",39.85
25377,"NEOS","NEOS THERAPEUTICS INC",7.3
25380,"APR.UN","AUTOMOTIVE PROPERTIES REIT",11.1
25381,"VXEL.1","VITAXEL GROUP LTD -OLD",0.75
25389,"GPK","GRAPHIC PACKAGING HOLDING CO",13.78
25395,"ACCFF","ACCORD FINANCIAL CORP",8.8
25405,"BGC","GENERAL CABLE CORP/DE",16.35
25406,"JCTCF","JEWETT-CAMERON TRADING CO",11.5
25424,"TWNK","HOSTESS BRANDS INC",16.1
25430,"FCEL","FUELCELL ENERGY INC",1.15
25434,"SBUX","STARBUCKS CORP",58.31
25450,"VLDI","VALIDIAN CORP",0.018
25462,"STRS","STRATUS PROPERTIES INC",29.4
25466,"RACE","FERRARI NV",86.02
25477,"GRL.","GLOBAL REAL ESTATE DIVID GRO",8.35
25478,"MDMN","MEDINAH MINERALS INC",0.0049
25481,"NKSH","NATIONAL BANKSHARES INC VA",40.8
25495,"DYN","DYNEGY INC",8.27
25502,"TEKXF","TEKMODO INDUSTRIES INC",0.0625
25507,"SNMSF","SPIN MASTER CORP",38.7
25509,"SPN","SUPERIOR ENERGY SERVICES INC",10.43
25527,"FORK","FULING GLOBAL INC",3.2
25536,"CENTA","CENTRAL GARDEN & PET CO",30.02
25539,"PMTS","CPI CARD GROUP INC",2.85
25540,"ITEX","ITEX CORP",3.8
25572,"WIRE","ENCORE WIRE CORP",42.7
25578,"EDTXF","SPECTRAL MEDICAL INC",0.44
25581,"BRBMF","BIG ROCK BREWERY INC",7.99
25600,"CCP","CARE CAPITAL PPTYS INC",26.7
25612,"AXDDF","ALMADEX MINERALS LTD",1.01
25632,"KW","KENNEDY-WILSON HOLDINGS INC",19.05
25633,"OHI","OMEGA HEALTHCARE INVS INC",33.02
25639,"TMPS","TEMPUS APPLIED SOLUTIONS HLD",0.485
25648,"RHHBY","ROCHE HOLDING AG",31.875
25654,"BLVD","BOULEVARD ACQUISITION CP II",10.02
25665,"LTC","LTC PROPERTIES INC",51.39
25676,"PRCP","PERCEPTRON INC",7.28
25680,"LAYN","LAYNE CHRISTENSEN CO",7.97
25709,"EQS","EQUUS TOTAL RETURN INC",2.36
25711,"ESMC","ESCALON MEDICAL CORP",0.21
25714,"SHG","SHINHAN FINANCIAL GROUP LTD",43.49
25726,"CVU","CPI AEROSTRUCTURES INC",9.4
25731,"CRVP","CRYSTAL ROCK HOLDINGS INC",0.8701
25737,"CAKE","CHEESECAKE FACTORY INC",50.3
25747,"LFUS","LITTELFUSE INC",165
25749,"ASGN","ON ASSIGNMENT INC",54.15
25750,"APTO","APTOSE BIOSCIENCES INC",1.62
25751,"BLX","BANCO LATINOAMERICANO DE COM",27.38
25753,"CCU","COMPANIA CERVECERIAS UNIDAS",26.24
25756,"PSTG","PURE STORAGE INC",10.61
25772,"EAGL","DOUBLE EAGLE ACQUISITION CRP",10
25773,"CREAF","CREATIVE TECHNOLOGY LTD",0.695
25774,"EFII","ELECTRONICS FOR IMAGING INC",47.38
25792,"EMRAF","EMERA INC",48.21
25848,"KEM","KEMET CORP",12.8
25850,"TRIB","TRINITY BIOTECH PLC",6
25852,"CPSS","CONSUMER PORTFOLIO SVCS INC",4.55
25870,"MTX","MINERALS TECHNOLOGIES INC",73.2
25874,"PQ","PETROQUEST ENERGY INC",1.98
25880,"PDCO","PATTERSON COMPANIES INC",44.49
25882,"ULUR","ULURU INC",0.0672
25895,"RDN","RADIAN GROUP INC",16.35
25898,"SGRY","SURGERY PARTNERS INC",22.75
25904,"ACRS","ACLARIS THERAPEUTICS INC",27.12
25905,"PAAC","PACIFIC SPECIAL ACQUISITION",10.25
25915,"QUMU","QUMU CORP",2.92
25922,"KAI","KADANT INC",75.2
25923,"STLY","STANLEY FURNITURE CO INC",1.14
25924,"NAVB","NAVIDEA BIOPHARMACEUTICALS",0.51
25935,"GURE","GULF RESOURCES INC",1.59
25937,"LGND","LIGAND PHARMACEUTICAL INC",121.4
25950,"TCO","TAUBMAN CENTERS INC",59.55
25960,"FEOVF","OCEANIC IRON ORE CORP",0.12
25964,"GTLS","CHART INDUSTRIES INC",34.73
25969,"RGBD","REGIONAL BRANDS INC",15
25971,"DSTFF","DISTINCT INFRASTRUCTURE GRP",1.39
25978,"MRVC","MRV COMMUNICATIONS INC",9.85
25979,"PESI","PERMA-FIX ENVIRONMENTAL SVCS",3.65
25999,"CBIO","CATALYST BIOSCIENCES INC",4.65
26012,"BBOX","BLACK BOX CORP",8.55
26013,"SM","SM ENERGY CO",16.53
26016,"UVE","UNIVERSAL INSURANCE HLDGS",25.2
26021,"CKH","SEACOR HOLDINGS INC",34.3
26028,"EMPR","EMPIRE PETROLEUM CORP",0.08
26037,"HMSY","HMS HOLDINGS CORP",18.5
26045,"ULBI","ULTRALIFE CORP",7.2
26061,"IAC","IAC/INTERACTIVECORP",103.24
26064,"DYNE","DYNTEK INC",12
26069,"GPOR","GULFPORT ENERGY CORP",14.75
26071,"FCBC","FIRST CMNTY BANCSHARES INC",27.35
26081,"KURA","KURA ONCOLOGY INC",9.3
26083,"CIIT","TIANCI INTERNATIONAL INC",0.55
26094,"MIRN","MIRNA THERAPEUTICS INC",1.67
26097,"OBMP","ONCBIOMUNE PHARMACEUTICALS",0.085
26112,"CTMX","CYTOMX THERAPEUTICS INC",15.5
26123,"NVCR","NOVOCURE LTD",17.3
26125,"SWH.","SUNWAH INTERNATIONAL LTD",0.4
26131,"AKTAF","AKITA DRILLING LTD  -CL A",7.15
26146,"RGNX","REGENXBIO INC",19.75
26147,"PEN","PENUMBRA INC",87.75
26148,"NBRV","NABRIVA THERAPEUTICS PLC",10.48
26149,"CERC","CERECOR INC",0.573
26156,"HPE","HEWLETT PACKARD ENTERPRISE",18.63
26179,"SMBK","SMARTFINANCIAL INC",23.88
26187,"IOTS","ADESTO TECHNOLOGIES CORP",4.55
26189,"MPVD","MOUNTAIN PROVINCE DIAMONDS",3.88
26197,"DMTX","DIMENSION THERAPEUTICS INC",1.45
26203,"FDCFF","FORUM URANIUM CORP",0.055
26204,"AKTX","AKARI THERAPEUTICS PLC -ADR",4.61
26218,"ANDA","ANDINA ACQUISITION CORP II",10.12
26233,"BLKCF","GLOBAL BLOCKCHAIN TECHNOLO",0.45
26236,"MCA.H","MILNER CONS SILVER MINES LTD",0.035
26269,"MYOK","MYOKARDIA INC",13.1
26270,"ABTX","ALLEGIANCE BANCSHARES INC",38.3
26273,"EDGE","EDGE THERAPEUTICS INC",10.26
26301,"PLZZ","PLAZA BANCORP",6.15
26304,"CSRA","CSRA INC",31.75
26321,"INST","INSTRUCTURE INC",29.5
26332,"SVCMF","SILVERCREST METALS INC",1.86
26333,"IMII","INCEPTION MINING INC",0.36
26335,"DLTH","DULUTH HOLDINGS INC",22.15
26340,"WVE","WAVE LIFE SCIENCES LTD",18.6
26341,"VYGR","VOYAGER THERAPEUTICS INC",8.96
26343,"AFI","ARMSTRONG FLOORING INC",17.97
26347,"EQBK","EQUITY BANCSHARES INC",30.64
26349,"AXSM","AXSOME THERAPEUTICS INC",5.5
26351,"NRE","NORTHSTAR REALTY EUROPE CORP",12.68
26367,"SQ","SQUARE INC",23.46
26368,"MIME","MIMECAST LTD",26.78
26376,"BGNE","BEIGENE LTD  -ADR",45
26381,"MTCH","MATCH GROUP INC",17.38
26382,"NVTR","NUVECTRA CORP",13.28
26410,"FCPT","FOUR CORNERS PROPERTY TR INC",25.11
26413,"AC","ASSOCIATED CAPITAL GROUP INC",34
26432,"WINS","WINS FINANCE HOLDINGS INC",205.01
26434,"PXS","PYXIS TANKERS INC",1.69
26494,"TEAM","ATLASSIAN CORP PLC",35.18
26495,"WBT","WELBILT INC",18.85
26520,"SMIT","SCHMITT INDUSTRIES INC/OR",1.74
26527,"BTLLF","BTL GROUP LTD",4.98
26537,"YRD","YIRENDAI LTD -ADR",25
26538,"IVWFF","LEADFX INC",0.58
26539,"EGO","ELDORADO GOLD CORP",2.64
26543,"PRHR","PETROSHARE CORP",1.75
26545,"RMR","RMR GROUP INC",48.65
26562,"JSYN","JENSYN ACQUISITION CORP",10.24
26566,"KSHB","KUSH BOTTLES INC",2.2
26567,"FRHC","FREEDOM HOLDING CORP",0.01
26573,"STGG","STG GROUP INC",1.72
26628,"PPEVF","PACIFIC PARADYM ENERGY INC",0.025
26636,"SENS","SENSEONICS HLDGS INC",1.8
26658,"AGR","AVANGRID INC",44.15
26669,"OCX","ONCOCYTE CORP",5.2
26675,"ARSEF","ALTAI RESOURCES INC",0.065
26725,"YERR","YANGTZE RIVER DEVELOPMENT",13.4544
26753,"GSM","FERROGLOBE PLC",11.95
26754,"ABIL","ABILITY INC",1.28
26755,"PTI","PROTEOSTASIS THERAPEUTICS",4.68
26761,"APTCF","ADVANCED PROTEOME THERAPETCS",0.075
26768,"SSRM","SSR MINING INC",9.71
26796,"BNPUF","BONAVISTA ENERGY CORP",2.71
26809,"DFFN","DIFFUSION PHARMACEUTICALS",2.33
26812,"GCP","GCP APPLIED TECHNOLOGIES INC",30.5
26818,"AVXS","AVEXIS INC",82.16
26828,"PVOTF","PIVOT PHARMACEUTICALS INC",0.125
26863,"DFBG","DIFFERENTIAL BRANDS GRP INC",1.9
26864,"CDEV","CENTENNIAL RES DVLPMNT INC",15.82
26874,"EDIT","EDITAS MEDICINE INC",16.78
26877,"PGLA","TBG DIAGNOSTICS LTD",0.0997
26881,"PTRUF","PETRUS RESOURCES LTD",2.25
26895,"CRVS","CORVUS PHARMACEUTICALS INC",12.1
26906,"TVIPF","TVI PACIFIC INC",0.01
26914,"TRX","TANZANIAN ROYALTY EXPLOR CP",0.64
26922,"PTIX","PROTAGENIC THERAPEUTICS INC",2
27004,"CRRTF","CRESCITA THERAPEUTICS INC",0.75
27013,"ESVIF","ENSIGN ENERGY SERVICES INC",6.93
27026,"VXLLF","VAXIL BIO LTD",0.14
27046,"EIGR","EIGER BIOPHARMACEUTICALS INC",7.9
27086,"ZEST","ECOARK HOLDINGS INC",3.61
27112,"ECSIF","ECOBALT SOLUTIONS INC",1.02
27154,"ADAT","AUTHENTIDATE HOLDING CORP",1.6
27199,"EGY","VAALCO ENERGY INC",0.935
27265,"AAV","ADVANTAGE OIL & GAS LTD",8.77
27301,"IGPFF","IMPERIAL GINSENG PRODS LTD",1
27374,"NGQRF","NGEX RESOURCES INC",0.8
27519,"TORXF","TOREX GOLD RESOURCES INC",24.73
27591,"CTO.","CIRCA ENTERPRISES INC",0.76
27637,"CEO.H","CLYDESDALE RESOURCES INC",0.06
27682,"PMEHF","PRIMELINE ENERGY HLDGS INC",0.14
27753,"EUGFF","DUNDEE ENERGY LTD",0.01
27760,"NLS","NAUTILUS INC",19.15
27765,"CAPS","CAPSTONE THERAPEUTICS CORP",0.047
27776,"RCKY","ROCKY BRANDS INC",13.45
27780,"DDR","DDR CORP",9.07
27786,"CHK","CHESAPEAKE ENERGY CORP",4.97
27790,"SGA","SAGA COMMUNICATIONS  -CL A",45.75
27794,"CREE","CREE INC",24.65
27810,"LIVN","LIVANOVA PLC",61.21
27813,"SHASF","SHAMARAN PETROLEUM CORP",0.12
27823,"CRY","CRYOLIFE INC",19.95
27828,"UEIC","UNIVERSAL ELECTRONICS INC",66.85
27845,"AGN","ALLERGAN PLC",243.09
27856,"PENC","PEN INC",1.46
27875,"ELS","EQUITY LIFESTYLE PROPERTIES",86.34
27886,"UBCP","UNITED BANCORP INC/OH",12.2
27906,"RELV","RELIV INTERNATIONAL INC",8.78
27913,"SCON","SUPERCONDUCTOR TECHNOLOGIES",1.74
27914,"HUM","HUMANA INC",240.62
27920,"VICL","VICAL INC",2.66
27921,"SDON","SANDSTON CORP",0.016
27925,"AVID","AVID TECHNOLOGY INC",5.26
27928,"INTU","INTUIT INC",125.21
27932,"HALL","HALLMARK FINANCIAL SERVICES",11.27
27936,"DEST","DESTINATION MATERNITY CORP",3.42
27938,"SCVL","SHOE CARNIVAL INC",25.37
27939,"TENX","TENAX THERAPEUTICS INC",0.7391
27960,"ALG","ALAMO GROUP INC",90.81
27965,"MCHP","MICROCHIP TECHNOLOGY INC",77.18
27981,"CHS","CHICOS FAS INC",13.82
27983,"AEMD","AETHLON MEDICAL INC",2.14
27988,"RPRX","REPROS THERAPEUTICS INC",0.46
28009,"MAGAA","MAGNA-LAB INC  -CL A",0.017
28022,"BANF","BANCFIRST CORP/OK",96.6
28027,"AMRN","AMARIN CORP",4.03
28034,"CB","CHUBB LTD",145.38
28059,"TRZBF","TRANSAT A T INC",5.5
28075,"VNRCF","VALENER INC",22.32
28080,"NSU","NEVSUN RESOURCES LTD",2.41
28088,"CZICF","CANADIAN ZINC CORP",0.175
28118,"FOSL","FOSSIL GROUP INC",10.35
28119,"GGP","GGP INC",23.56
28139,"SANM","SANMINA CORP",38.1
28152,"MSL","MIDSOUTH BANCORP INC",11.75
28155,"TCBK","TRICO BANCSHARES",35.15
28169,"AGU","AGRIUM INC",90.49
28176,"ATR","APTARGROUP INC",86.86
28180,"ORLY","O'REILLY AUTOMOTIVE INC",218.74
28181,"VCSY","VERTICAL COMPUTER SYS INC",0.0139
28191,"RCL","ROYAL CARIBBEAN CRUISES LTD",109.23
28194,"POL","POLYONE CORP",38.74
28195,"JBL","JABIL INC",29.92
28209,"ANIK","ANIKA THERAPEUTICS INC",49.34
28216,"RGA","REINSURANCE GROUP AMER INC",128.39
28236,"GILT","GILAT SATELLITE NETWORKS LTD",5.16
28262,"NTZ","NATUZZI SPA",2.65
28272,"AZN","ASTRAZENECA PLC",34.09
28278,"GABC","GERMAN AMERICAN BANCORP INC",34.09
28286,"PGSVY","PGS-PETROLEUM GEO-SERVICES",1.731
28295,"TWI","TITAN INTERNATIONAL INC",12.01
28303,"PERY","ELLIS PERRY INTL INC",20.52
28320,"CDW","CDW CORP",62.53
28322,"HR","HEALTHCARE REALTY TRUST INC",34.15
28323,"AKR","ACADIA REALTY TRUST",27.8
28338,"RIG","TRANSOCEAN LTD",8.23
28340,"SKT","TANGER FACTORY OUTLET CTRS",25.98
28347,"FTK","FLOTEK INDUSTRIES INC",8.94
28349,"ALL","ALLSTATE CORP",88.44
28374,"LINK","INTERLINK ELECTRONICS",8
28378,"LGF.A","LIONS GATE ENTERTAINMENT CP",28.22
28380,"OFIX","ORTHOFIX INTERNATIONAL NV",46.48
28383,"ATTU","ATTUNITY LTD",7.19
28384,"SPNS","SAPIENS INTERNATIONAL CORP",11.19
28385,"MAGS","MAGAL SECURITY SYSTEMS",4.92
28397,"PZZA","PAPA JOHNS INTERNATIONAL INC",71.76
28399,"TGAFF","TAIGA BUILDING PRODUCTS LTD",1
28408,"THRM","GENTHERM INC",38.8
28410,"BBSI","BARRETT BUSINESS SVCS INC",57.29
28415,"SEMFF","SEMAFO INC",2.99
28456,"SUBCY","SUBSEA 7 SA",13.406
28462,"LBY","LIBBEY INC",8.06
28477,"FLIR","FLIR SYSTEMS INC",34.66
28485,"CIGI","COLLIERS INTL GROUP INC",56.45
28490,"WAYN","WAYNE SAVINGS BANCSHARES INC",17.51
28518,"SHLO","SHILOH INDUSTRIES INC",12.3
28520,"YPF","YACIMIENTOS PETE FISCALES SA",21.9
28535,"SIM","GRUPO SIMEC SA DE CV",10.73
28555,"CGEAF","COGECO COMMUNICATIONS INC",78.98
28564,"SGY","STONE ENERGY CORP",18.38
28590,"BCO","BRINKS CO",67
28620,"FDEF","FIRST DEFIANCE FINANCIAL CP",52.68
28629,"CPT","CAMDEN PROPERTY TRUST",85.51
28641,"KTEC","KEY TECHNOLOGY INC",13.75
28653,"SHI","SINOPEC SHANGHAI PETROCHEM",53.51
28661,"RHUHF","RICHELIEU HARDWARE LTD",30.32
28675,"TLF","TANDY LEATHER FACTORY INC",8.9
28704,"MCRI","MONARCH CASINO & RESORT INC",30.25
28717,"INOD","INNODATA INC",1.75
28724,"BLDP","BALLARD POWER SYSTEMS INC",2.9
28733,"EQR","EQUITY RESIDENTIAL",65.83
28742,"BWA","BORGWARNER INC",42.36
28749,"FLL","FULL HOUSE RESORTS INC",2.47
28762,"SPTN","SPARTANNASH CO",25.96
28769,"BFS","SAUL CENTERS INC",57.98
28785,"WINA","WINMARK CORP",128.95
28787,"PFGC","PERFORMANCE FOOD GROUP CO",27.4
28791,"ROYL","ROYALE ENERGY INC",0.425
28795,"MATN","MATEON THERAPEUTICS INC",0.3399
28796,"THRSF","THUNDERBIRD RESORTS INC",0.202
28806,"ARWR","ARROWHEAD PHARMACEUTICALS",1.62
28819,"FTEK","FUEL TECH INC",0.7901
28833,"CLDB","CORTLAND BANCORP",18
28836,"SFEF","SANTA FE FINANCIAL CORP",35
28838,"CS","CREDIT SUISSE GROUP",14.6
28844,"KOF","COCA-COLA FEMSA SAB DE CV",84.67
28852,"JAGGF","JAGUAR MINING INC",0.3087
28853,"ARRS","ARRIS INTERNATIONAL PLC",28.02
28862,"CLNFF","CALIAN GROUP LTD",27.5
28866,"CASH","META FINANCIAL GROUP INC",89
28883,"SQM","SOC QUIMICA Y MINERA DE CHI",33.02
28903,"ENRFF","ENERFLEX LTD",18.82
28916,"IMCI","INFINITE GROUP INC",0.036
28924,"BKS","BARNES & NOBLE INC",8.55
28930,"MAR","MARRIOTT INTL INC",100.31
28940,"BDC","BELDEN INC",75.43
28967,"QCRH","QCR HOLDINGS INC",47.4
29011,"BYD","BOYD GAMING CORP",24.81
29015,"DECK","DECKERS OUTDOOR CORP",68.26
29028,"COST","COSTCO WHOLESALE CORP",180.43
29039,"ENIA","ENEL AMERICAS SA",9.43
29040,"SDOIA","SPECIAL DIVERSIFIED OPPS INC",10.79
29052,"LXP","LEXINGTON REALTY TRUST",9.91
29057,"ZARFF","ZARGON OIL & GAS LTD",0.51
29061,"RVSB","RIVERVIEW BANCORP INC",6.64
29082,"CBL","CBL & ASSOCIATES PPTYS INC",8.43
29086,"PTN","PALATIN TECHNOLOGIES INC",0.43
29089,"QMCI","QUOTEMEDIA INC",0.035
29099,"REG","REGENCY CENTERS CORP",62.64
29101,"FFIN","FIRST FINL BANKSHARES INC",44.2
29108,"PTEN","PATTERSON-UTI ENERGY INC",20.19
29127,"INCY","INCYTE CORP",125.91
29129,"NYNY","EMPIRE RESORTS INC",23.9
29131,"ROCK","GIBRALTAR INDUSTRIES INC",35.65
29133,"ITRI","ITRON INC",67.75
29135,"BTE","BAYTEX ENERGY CORP",3.15
29150,"URBN","URBAN OUTFITTERS INC",22.88
29151,"CNTY","CENTURY CASINOS INC",7.37
29156,"UFPI","UNIVERSAL FOREST PRODS INC",87.31
29170,"MACE","MACE SECURITY INTL INC",0.361
29173,"NFX","NEWFIELD EXPLORATION CO",28.46
29175,"EHMEF","GOEASY LTD",27.6
29194,"TEO","TELECOM ARGENTINA",25.34
29206,"FWRD","FORWARD AIR CORP",53.28
29211,"BPFH","BOSTON PRIVATE FINL HOLDINGS",15.35
29217,"SCHN","SCHNITZER STEEL INDS  -CL A",19.3
29241,"VIAV","VIAVI SOLUTIONS INC",10.53
29246,"AF","ASTORIA FINANCIAL CORP",20.15
29268,"WMAR","WEST MARINE INC",12.85
29282,"NYCB","NEW YORK CMNTY BANCORP INC",13.13
29286,"BFR","BBVA BANCO FRANCES SA",18.93
29300,"WVFC","WVS FINANCIAL CORP",16.0996
29332,"PRKR","PARKERVISION INC",1.79
29359,"SUI","SUN COMMUNITIES INC",87.69
29382,"SHOO","MADDEN STEVEN LTD",39.95
29383,"TNTHF","DIFFERENCE CAPITAL FINANCIAL",4.15
29389,"SPG","SIMON PROPERTY GROUP INC",161.76
29392,"EMN","EASTMAN CHEMICAL CO",83.99
29446,"OKSB","SOUTHWEST BANCORP INC",25.55
29449,"UFPT","UFP TECHNOLOGIES INC",28.3
29453,"LNG","CHENIERE ENERGY INC",48.71
29466,"FBSI","FIRST BANCSHARES INC/MO",12
29471,"VVIVF","VALENCIA VENTURES INC",0.155
29476,"THERF","THERATECHNOLOGIES INC",7.13
29478,"ATSAF","ATS AUTOMATION TOOLING SYS",13.29
29513,"3KSBI","KS BANCORP INC",23.6
29517,"MED","MEDIFAST INC",41.47
29552,"BOWFF","BOARDWALK REAL ESTATE TRUST",47.55
29609,"HAIN","HAIN CELESTIAL GROUP INC",38.82
29621,"MLNK","MODUSLINK GLOBAL SOLUTIONS",1.69
29649,"MAA","MID-AMERICA APT CMNTYS INC",105.38
29692,"WEBC","WEBCO INDUSTRIES INC",82.95
29698,"SGMA","SIGMATRON INTERNATIONAL INC",5.41
29705,"DAKT","DAKTRONICS INC",9.46
29722,"DSPG","DSP GROUP INC",11.6
29733,"MLM","MARTIN MARIETTA MATERIALS",222.58
29734,"MINI","MOBILE MINI INC",29.85
29736,"TSCO","TRACTOR SUPPLY CO",54.21
29751,"ALB","ALBEMARLE CORP",105.54
29752,"ACPQF","ADDED CAPITAL INC",0.04
29755,"BZH","BEAZER HOMES USA INC",13.72
29762,"ARTX","AROTECH CORP",3.55
29769,"PBEGF","TOUCHSTONE EXPLORATION INC",0.15
29789,"ARCAY","ARCADIS NV",18.049
29804,"IVZ","INVESCO LTD",35.19
29830,"WRK","WESTROCK CO",56.66
29837,"BCRX","BIOCRYST PHARMACEUTICALS INC",5.56
29850,"TV","GRUPO TELEVISA SAB",24.37
29855,"FMNB","FARMERS NATL BANC CORP/OH",14.5
29868,"MAC","MACERICH CO",58.06
29870,"ZEUS","OLYMPIC STEEL INC",19.48
29875,"AVB","AVALONBAY COMMUNITIES INC",192.17
29894,"NNBR","NN INC",27.45
29901,"CPRT","COPART INC",30.9
29910,"SCSC","SCANSOURCE INC",40.3
29917,"CEFC","COMMERCIAL NATIONAL FINL CP",11.199
29921,"RVLT","REVOLUTION LIGHTING TECHNLGS",6.59
29930,"MPAA","MOTORCAR PARTS OF AMER INC",28.24
29944,"BMBN","BENCHMARK BANKSHARES INC",17.25
